ADM3_PCODE,elev_min,elev_max,elev_mean,elev_std,elev_median
NP0108403,392.0,2680.0,1308.658379120879,496.5806780250808,1265.5
NP0108404,317.0,2661.0,1112.556000228689,458.9355189188193,1060.0
NP0109301,276.0,2161.0,891.8126514633692,408.4583921693966,827.0
NP0109302,287.0,3484.0,1138.5798691598413,612.4590729816308,939.0
NP0109303,262.0,3688.0,1558.279270666166,813.2769496043669,1382.0
NP0109304,255.0,3005.0,1542.5436971405559,674.3979299086159,1533.0
NP0109305,561.0,3072.0,1909.0191679977777,534.3792521529825,1939.0
NP0109401,554.0,8354.0,3639.862609814677,1532.107011246037,3643.0
NP0109402,961.0,6126.0,3490.2848505589777,1121.3758834275784,3491.0
NP0109403,385.0,6108.0,2764.9347707340758,1136.1051779779582,2704.0
NP0109404,416.0,2281.0,1427.2653359717801,379.4945967855218,1448.0
NP0109405,370.0,4629.0,1926.2538374369012,952.6822959455723,1784.0
NP0110301,271.0,3304.0,1214.1149403462134,620.616626386424,1082.0
NP0110302,438.0,2698.0,1586.7252968211412,475.9125790791355,1606.0
NP0110401,343.0,3954.0,1997.2337698193578,733.3965466067275,2023.0
NP0110402,679.0,3286.0,1934.6156556979868,505.9625626258398,1948.0
NP0110403,223.0,2047.0,917.951224328594,401.8016530762072,879.0
NP0110404,350.0,2522.0,1382.7640953852094,435.71230429385383,1380.0
NP0110405,206.0,2242.0,1108.9873881989577,434.3594890464968,1147.0
NP0110406,129.0,2417.0,1117.9226175665588,560.8056502400322,1079.0
NP0110407,120.0,1853.0,870.2274800150223,380.86020029158055,862.0
NP0111301,1032.0,6775.0,3223.968819449121,891.5759360168842,3038.0
NP0111401,1622.0,8773.0,4956.7694598966345,924.1384385819531,5087.0
NP0111402,1196.0,7280.0,4107.127807455239,1260.1863741228735,4157.0
NP0111403,1310.0,4221.0,2729.8432488676704,588.2575770521427,2728.0
NP0111404,907.0,4202.0,2188.186563776668,582.3694277655331,2176.0
NP0111405,564.0,3117.0,1752.5367505927516,561.3598034962379,1699.0
NP0111406,590.0,3108.0,1724.3689780445427,564.9755554958955,1705.0
NP0111407,829.0,3594.0,2084.5621209880196,589.375023043214,2066.0
NP0112301,263.0,1906.0,883.6971464391813,330.6814173722969,862.0
NP0112302,474.0,2979.0,1604.6880304813828,486.13305009405417,1579.0
NP0112401,500.0,3442.0,1676.915582837,586.3399548978806,1638.0
NP0112402,760.0,3605.0,2180.8856539748285,578.9079095330727,2194.0
NP0112403,425.0,2617.0,1143.4406487502938,453.9123036023008,1049.0
NP0112404,253.0,2587.0,1327.4864970865083,554.8034169933495,1275.0
NP0112405,635.0,2994.0,1903.8729598167415,502.4921347743852,1969.0
NP0112406,236.0,2642.0,1274.721098265896,482.8167065659986,1249.0
NP0112407,176.0,1837.0,860.2611210204853,374.41491517094704,860.0
NP0112408,168.0,2169.0,1124.9881072724029,407.24860762561485,1150.0
NP0113301,388.0,3331.0,1726.9280297870407,627.0041857624907,1621.0
NP0113401,816.0,3431.0,2389.2510059722986,511.1487137855949,2431.0
NP0113402,498.0,2780.0,1499.6966759002771,605.3485043626545,1368.0
NP0113403,668.0,2982.0,1748.6637749915283,532.856346307888,1696.0
NP0113404,381.0,2788.0,1411.7506158005408,500.51721112324503,1394.0
NP0113405,363.0,2781.0,1318.847941426146,511.3790177533625,1291.5
NP0113406,422.0,3007.0,1184.3659983633388,455.5510458400723,1114.0
NP0113407,335.0,2277.0,1088.5294117647059,405.44838887039987,1077.0
NP0114301,126.0,2098.0,581.8007485649506,359.3659688506066,464.0
NP0114302,120.0,1940.0,367.1757780235472,258.4587457480309,258.0
NP0114303,102.0,1056.0,276.4143509141484,189.13231102410518,204.0
NP0114304,88.0,1190.0,317.6142486169132,250.42374102073464,199.0
NP0114401,297.0,2112.0,1095.2113091421977,413.2549139401685,1081.0
NP0114402,248.0,2233.0,1118.428591892279,466.4523541474924,1104.0
NP0114403,136.0,2113.0,768.7781091136293,360.30598694815063,713.0
NP0114404,210.0,2336.0,1090.187003447759,465.88576590888687,1047.0
NP0114595,90.0,99.0,93.55206847360913,1.2748804876511106,93.0
NP0215301,85.0,371.0,129.87749103942653,33.4195955139262,124.0
NP0215302,86.0,398.0,140.21561632976616,53.84669120082031,119.0
NP0215303,83.0,432.0,163.3605077574048,68.94112954574074,130.0
NP0215304,88.0,272.0,129.68654434250766,40.670352672793236,112.0
NP0215305,76.0,334.0,120.96941176470588,48.273722323581396,99.0
NP0215306,0.0,113.0,88.13438272407961,8.76780971167315,87.0
NP0215307,68.0,101.0,81.59244444444444,7.101807956211825,81.0
NP0215308,71.0,104.0,85.00111467186846,6.942507497301969,85.0
NP0215309,67.0,94.0,77.34076868049685,4.576578634532768,76.0
NP0215401,87.0,389.0,132.61967975913507,56.75111882746424,109.0
NP0215402,89.0,401.0,163.98941956635124,59.102086175003755,137.0
NP0215403,81.0,123.0,95.62058465286236,7.15451915075798,94.0
NP0215404,73.0,102.0,86.6792189679219,4.253893728022615,86.0
NP0215405,75.0,101.0,84.1328655996492,4.666597109084546,83.0
NP0215406,65.0,95.0,76.02052268718936,6.472117688570392,74.0
NP0215407,70.0,98.0,81.22907488986785,5.173066275289615,81.0
NP0215408,62.0,84.0,70.56927651139742,3.535941407478247,70.0
NP0215409,69.0,85.0,74.21120186697783,2.4686535292471534,74.0
NP0215595,76.0,96.0,87.8100607111882,2.953147187958456,88.0
NP0216301,85.0,477.0,145.17996215516382,69.28513274432709,115.0
NP0216302,91.0,651.0,170.35733311137008,97.02334322261987,131.0
NP0216303,101.0,640.0,195.9516415868673,96.95594526486035,163.0
NP0216304,103.0,708.0,235.5050417747047,113.95379584366702,196.0
NP0216305,97.0,353.0,153.75687190764157,51.29019862459338,134.0
NP0216306,69.0,117.0,92.49332003988036,7.227613027414034,91.0
NP0216307,85.0,120.0,99.78946631180838,6.621800174394234,100.0
NP0216308,67.0,95.0,78.93578056324272,5.07702618924602,78.0
NP0216401,101.0,156.0,120.68045014394137,11.289403118661694,118.0
NP0216402,83.0,111.0,96.79714368988633,6.012539408549841,96.0
NP0216403,76.0,118.0,94.90623097219404,8.663038730521166,94.0
NP0216404,74.0,97.0,83.99486301369863,4.030010407597522,84.0
NP0216405,78.0,98.0,87.46393009550904,2.8043224247090133,87.0
NP0216406,85.0,117.0,99.55225502626335,6.45089534812145,100.0
NP0216407,81.0,104.0,90.0530825993811,4.151647017045045,89.0
NP0216408,70.0,111.0,97.55919513336453,4.137424175664452,98.0
NP0216409,62.0,101.0,88.2878717472119,3.2625339842553536,88.0
NP0217201,67.0,94.0,78.46803196803197,4.737803314061727,78.0
NP0217301,113.0,706.0,273.6624618514751,104.58176611389698,262.0
NP0217302,93.0,467.0,217.6963983714375,77.02565552675972,220.0
NP0217303,90.0,156.0,114.55706112616681,13.361774509462874,112.0
NP0217304,92.0,330.0,138.01475983989326,38.802742181787174,125.0
NP0217305,82.0,114.0,97.16517128874388,6.9241728979997506,97.0
NP0217306,82.0,109.0,93.1531970525315,3.9763612332024727,93.0
NP0217307,76.0,103.0,85.55744145843155,4.456430866974924,85.0
NP0217308,74.0,97.0,84.66786907147629,3.606131542844854,84.0
NP0217309,63.0,79.0,69.26930654058313,2.308243098449802,69.0
NP0217310,69.0,88.0,76.57135636057288,3.2230616604311857,77.0
NP0217311,71.0,96.0,81.4953488372093,3.466044826423588,81.0
NP0217401,96.0,172.0,131.4310843373494,16.82366226709347,131.0
NP0217402,83.0,107.0,93.77175,4.6495862114278514,94.0
NP0217403,71.0,87.0,77.27458033573141,2.147895379224261,77.0
NP0217404,67.0,83.0,73.1038062283737,2.1963210928904258,73.0
NP0217405,0.0,73.0,65.44073121965152,3.1544526877016574,65.0
NP0217406,0.0,90.0,73.68862941340005,13.488462980180415,76.0
NP0218301,105.0,763.0,324.39744707649083,144.3361537674474,278.0
NP0218302,98.0,229.0,146.1137528398584,29.56270829397458,141.0
NP0218303,87.0,130.0,103.9805638615976,8.165775350853568,103.0
NP0218304,85.0,144.0,103.44789291026277,10.455116278315273,101.0
NP0218305,77.0,101.0,87.75696594427245,4.293119207319076,88.0
NP0218306,0.0,87.0,72.89684372594303,13.247445962373344,75.0
NP0218307,73.0,99.0,82.72168172341904,4.669332288859605,82.0
NP0218308,70.0,97.0,83.09597428440226,4.625759011174566,83.0
NP0218309,0.0,77.0,67.37614678899082,3.9628190839577626,67.0
NP0218310,62.0,78.0,67.69759450171821,2.100189945840236,68.0
NP0218401,85.0,118.0,96.88894771674387,6.47734766022043,96.0
NP0218402,0.0,102.0,86.83510638297872,4.617125248036764,86.0
NP0218403,64.0,78.0,70.52668584212208,2.0968879017586146,71.0
NP0218404,67.0,85.0,73.31732605729877,2.720141126432817,73.0
NP0218405,65.0,85.0,73.4433601224646,3.44681682566232,73.0
NP0219301,90.0,606.0,138.689340178167,65.21884125488828,121.0
NP0219302,120.0,601.0,213.38013753398369,106.61560242519124,163.0
NP0219303,114.0,694.0,296.30167061383855,133.52301614761808,268.0
NP0219304,79.0,120.0,96.68914579319204,4.867559584367485,96.0
NP0219305,99.0,140.0,116.6099736932403,7.662427812897831,116.0
NP0219306,99.0,664.0,185.1527732425246,103.79805414190383,145.0
NP0219307,84.0,114.0,97.7889631043257,4.468666606535891,98.0
NP0219308,73.0,95.0,82.0243710691824,3.467441158743964,82.0
NP0219309,75.0,96.0,85.29500376600552,3.3209886702856397,85.0
NP0219310,90.0,132.0,106.12071982004498,8.144390112780224,105.0
NP0219311,66.0,90.0,77.86695075757575,1.9963207749417609,78.0
NP0219401,71.0,101.0,89.23494288681205,2.4848647083397966,89.0
NP0219402,89.0,120.0,102.16634522661523,5.775629542073583,102.0
NP0219403,70.0,96.0,84.42459590068322,2.4436365757256446,84.0
NP0219404,82.0,101.0,89.87640791476407,2.482561500195091,90.0
NP0219405,72.0,88.0,80.89742103738047,1.7326100868066898,81.0
NP0219406,77.0,92.0,83.99065420560747,2.7251057725016152,84.0
NP0219407,79.0,110.0,91.83943916779738,5.876499237271129,91.0
NP0219408,73.0,89.0,79.35583492757584,2.4082339693503965,79.0
NP0219409,84.0,101.0,92.19496855345912,3.0183244573157,92.0
NP0232301,91.0,793.0,148.12615447071957,75.68953985671997,130.0
NP0232302,95.0,902.0,219.57662472514048,144.6586633108932,157.0
NP0232303,75.0,137.0,103.6443117977528,9.395194003303551,102.0
NP0232304,73.0,112.0,96.53079947575361,5.023669560031558,96.0
NP0232305,85.0,150.0,109.93485394157663,16.176079373761677,102.0
NP0232306,80.0,100.0,89.35028621752532,2.8159330997647607,89.0
NP0232307,78.0,103.0,87.72694556905083,3.2601449647782923,88.0
NP0232308,79.0,100.0,89.2,3.1403512024897,89.0
NP0232309,68.0,102.0,88.9788286199969,3.355561019788535,89.0
NP0232310,65.0,101.0,84.99416846652268,2.6963234927705813,85.0
NP0232311,70.0,94.0,83.69301007556675,2.170160937838516,84.0
NP0232312,0.0,95.0,81.83762781186094,3.2089814042600855,82.0
NP0232313,0.0,87.0,77.9962962962963,2.915697767622934,78.0
NP0232314,71.0,89.0,79.05945419103314,2.208739793631589,79.0
NP0232315,70.0,84.0,77.05687877710629,1.7629616877371659,77.0
NP0232316,57.0,86.0,76.80048793711033,1.871238641395903,77.0
NP0232401,75.0,89.0,81.10408069692801,2.2278893404407643,81.0
NP0232402,68.0,96.0,80.30982658959537,2.5720372275287846,80.0
NP0233201,92.0,793.0,241.5350017157704,163.03565641884438,172.0
NP0233202,81.0,122.0,98.95422975413251,8.861409337993482,98.0
NP0233301,123.0,908.0,286.1711953659821,147.7306366069836,217.0
NP0233302,92.0,177.0,129.03777702342273,19.900038212580583,129.0
NP0233303,78.0,105.0,91.3301613570542,4.425755441456757,91.0
NP0233304,0.0,101.0,81.02171269758554,12.683218886616668,83.0
NP0233305,67.0,96.0,85.06971597196606,2.9228884518556804,85.0
NP0233401,87.0,104.0,94.43611248149975,3.0999209505297722,94.0
NP0233402,86.0,111.0,96.05024556101246,4.137526136632001,96.0
NP0233403,85.0,116.0,101.48377816845134,5.907748038985452,102.0
NP0233404,80.0,97.0,86.19830573738929,2.3595611661701326,86.0
NP0233405,82.0,100.0,88.7301740812379,2.6705618537006495,88.0
NP0233406,85.0,108.0,95.77367295352907,3.582926526764192,96.0
NP0233407,79.0,96.0,85.02923784494087,2.615932046206098,85.0
NP0233408,0.0,93.0,83.35570330355287,4.933192486002475,83.0
NP0233409,80.0,103.0,90.90221285563752,3.540005499838435,91.0
NP0233595,251.0,424.0,307.32022471910113,33.2203020360326,302.0
NP0234101,0.0,234.0,101.75578435909301,27.86084293069143,92.0
NP0234301,81.0,98.0,88.35341176470588,2.961524866742162,88.0
NP0234302,82.0,104.0,89.85403576607057,3.0165420205744526,90.0
NP0234303,89.0,226.0,130.75353566241114,36.214918571133076,114.0
NP0234401,0.0,614.0,235.03321492007106,81.9025856285887,233.0
NP0234402,0.0,172.0,121.77479338842976,21.67625806094781,117.0
NP0234403,93.0,178.0,124.33898908400569,20.578592410878713,119.0
NP0234404,85.0,205.0,115.0781876091647,26.62682335734203,104.0
NP0234405,0.0,113.0,97.55275113579,11.287705057498322,98.0
NP0234406,0.0,103.0,89.89291289416173,12.005205826820823,92.0
NP0234407,0.0,98.0,80.95010713192531,19.593081644303062,85.0
NP0234408,79.0,98.0,86.9283255086072,2.8609171812255094,87.0
NP0234409,0.0,92.0,82.87369557394746,3.976571689139843,83.0
NP0234410,0.0,94.0,83.97628805620609,9.522546266226984,85.0
NP0234595,139.0,833.0,336.17480378023384,127.3565083052066,309.0
NP0234597,227.0,736.0,430.3694297288875,107.9521131477289,422.0
NP0320301,278.0,1987.0,683.5363173539084,287.50513459539707,603.0
NP0320302,158.0,2110.0,577.7088513420914,408.1457041065739,426.0
NP0320401,140.0,1337.0,407.6868570415041,218.04503596210742,332.0
NP0320402,223.0,1541.0,493.1235422273485,242.40702542480784,393.0
NP0320403,493.0,2351.0,1240.811771694923,362.49864211376564,1173.0
NP0320404,459.0,2286.0,1068.2358848141766,384.70174475996606,1001.0
NP0320405,414.0,1878.0,1015.609167322264,326.1523260953593,1010.0
NP0320406,318.0,1978.0,858.4441991660535,332.52530577323245,790.0
NP0320407,356.0,2354.0,1235.2841733994997,462.09866068688086,1261.0
NP0321301,453.0,2061.0,1061.6078932220464,329.05513995130354,1050.0
NP0321302,406.0,2073.0,1085.079084130451,339.9978512044667,1081.0
NP0321401,546.0,2402.0,1412.0192410954,410.29167364261565,1406.0
NP0321402,776.0,3138.0,1967.9720887545213,455.8573586851031,1971.0
NP0321403,661.0,4407.0,2400.3145683936036,701.2904256410543,2332.0
NP0321404,868.0,6815.0,3480.7796105730426,1230.4293496127882,3363.0
NP0321405,463.0,2368.0,1157.8724825422528,406.8297219507,1138.0
NP0321406,529.0,2813.0,1518.5162711034989,486.3358846022118,1499.5
NP0322301,839.0,3466.0,2011.5202911842257,571.5945110057133,1990.0
NP0322302,1438.0,5409.0,2771.5427441107713,835.0061344759272,2466.0
